data,hora,precipitacao
2007-01-04,2300,"0,4"
2007-01-05,0,0
2007-01-05,100,0
2007-01-05,200,0
2007-01-05,300,0
2007-01-05,400,0
2007-01-05,500,0
2007-01-05,600,0
2007-01-05,700,0
2007-01-05,800,0
2007-01-05,900,0
2007-01-05,1000,"0,2"
2007-01-05,1100,0
2007-01-05,1200,0
2007-01-05,1300,0
2007-01-05,1400,0
2007-01-05,1500,0
2007-01-05,1600,0
2007-01-05,1700,0
2007-01-05,1800,0
2007-01-05,1900,0
2007-01-05,2000,0
2007-01-05,2100,0
2007-01-05,2200,0
2007-01-05,2300,0
2007-01-06,0,0
2007-01-06,100,0
2007-01-06,200,0
2007-01-06,300,0
2007-01-06,400,0
2007-01-06,500,0
2007-01-06,600,0
2007-01-06,700,0
2007-01-06,800,0
2007-01-06,900,0
2007-01-06,1000,0
2007-01-06,1100,0
2007-01-06,1200,0
2007-01-06,1300,0
2007-01-06,1400,0
2007-01-06,1500,0
2007-01-06,1600,0
2007-01-06,1700,0
2007-01-06,1800,0
2007-01-06,1900,0
2007-01-06,2000,0
2007-01-06,2100,0
2007-01-06,2200,0
2007-01-06,2300,0
2007-01-07,0,0
2007-01-07,100,0
2007-01-07,200,0
2007-01-07,300,0
2007-01-07,400,0
2007-01-07,500,0
2007-01-07,600,0
2007-01-07,700,0
2007-01-07,800,0
2007-01-07,900,0
2007-01-07,1000,0
2007-01-07,1100,0
2007-01-07,1200,0
2007-01-07,1300,0
2007-01-07,1400,0
2007-01-07,1500,0
2007-01-07,1600,0
2007-01-07,1700,0
2007-01-07,1800,0
2007-01-07,1900,0
2007-01-07,2000,0
2007-01-07,2100,0
2007-01-07,2200,0
2007-01-07,2300,0
2007-01-08,0,0
2007-01-08,100,0
2007-01-08,200,0
2007-01-08,300,0
2007-01-08,400,0
2007-01-08,500,0
2007-01-08,600,0
2007-01-08,700,0
2007-01-08,800,0
2007-01-08,900,0
2007-01-08,1000,0
2007-01-08,1100,0
2007-01-08,1200,0
2007-01-08,1300,0
2007-01-08,1400,0
2007-01-08,1500,0
2007-01-08,1600,0
2007-01-08,1700,0
2007-01-08,1800,0
2007-01-08,1900,0
2007-01-08,2000,0
2007-01-08,2100,0
2007-01-08,2200,0
2007-01-08,2300,0
2007-01-09,0,0
2007-01-09,100,0
2007-01-09,200,0
2007-01-09,300,0
2007-01-09,400,0
2007-01-09,500,0
2007-01-09,600,0
2007-01-09,700,0
2007-01-09,800,0
2007-01-09,900,0
2007-01-09,1000,0
2007-01-09,1100,0
2007-01-09,1200,0
2007-01-09,1300,0
2007-01-09,1400,0
2007-01-09,1500,0
2007-01-09,1600,0
2007-01-09,1700,0
2007-01-09,1800,0
2007-01-09,1900,0
2007-01-09,2000,0
2007-01-09,2100,0
2007-01-09,2200,0
2007-01-09,2300,0
2007-01-10,0,0
2007-01-10,100,0
2007-01-10,200,0
2007-01-10,300,0
2007-01-10,400,0
2007-01-10,500,0
2007-01-10,600,0
2007-01-10,700,0
2007-01-10,800,0
2007-01-10,900,0
2007-01-10,1000,0
2007-01-10,1100,0
2007-01-10,1200,0
2007-01-10,1300,0
2007-01-10,1400,0
2007-01-10,1500,0
2007-01-10,1600,0
2007-01-10,1700,0
2007-01-10,1800,0
2007-01-10,1900,0
2007-01-10,2000,0
2007-01-10,2100,"0,8"
2007-01-10,2200,"2,2"
2007-01-10,2300,"1,2"
2007-01-11,0,0
2007-01-11,100,0
2007-01-11,200,0
2007-01-11,300,0
2007-01-11,400,0
2007-01-11,500,0
2007-01-11,600,0
2007-01-11,700,0
2007-01-11,800,0
2007-01-11,900,0
2007-01-11,1000,0
2007-01-11,1100,"0,6"
2007-01-11,1200,0
2007-01-11,1300,0
2007-01-11,1400,0
2007-01-11,1500,0
2007-01-11,1600,0
2007-01-11,1700,0
2007-01-11,1800,0
2007-01-11,1900,0
2007-01-11,2000,"0,4"
2007-01-11,2100,0
2007-01-11,2200,"5,4"
2007-01-11,2300,0
2007-01-12,0,0
2007-01-12,100,0
2007-01-12,200,0
2007-01-12,300,0
2007-01-12,400,0
2007-01-12,500,0
2007-01-12,600,0
2007-01-12,700,0
2007-01-12,800,0
2007-01-12,900,0
2007-01-12,1000,"0,2"
2007-01-12,1100,0
2007-01-12,1200,0
2007-01-12,1300,0
2007-01-12,1400,0
2007-01-12,1500,0
2007-01-12,1600,0
2007-01-12,1700,0
2007-01-12,1800,0
2007-01-12,1900,0
2007-01-12,2000,0
2007-01-12,2100,0
2007-01-12,2200,0
2007-01-12,2300,0
2007-01-13,0,0
2007-01-13,100,0
2007-01-13,200,0
2007-01-13,300,0
2007-01-13,400,0
2007-01-13,500,0
2007-01-13,600,0
2007-01-13,700,0
2007-01-13,800,0
2007-01-13,900,0
2007-01-13,1000,0
2007-01-13,1100,0
2007-01-13,1200,0
2007-01-13,1300,0
2007-01-13,1400,0
2007-01-13,1500,0
2007-01-13,1600,0
2007-01-13,1700,0
2007-01-13,1800,0
2007-01-13,1900,0
2007-01-13,2000,0
2007-01-13,2100,0
2007-01-13,2200,0
2007-01-13,2300,0
2007-01-14,0,0
2007-01-14,100,0
2007-01-14,200,0
2007-01-14,300,0
2007-01-14,400,0
2007-01-14,500,0
2007-01-14,600,0
2007-01-14,700,0
2007-01-14,800,0
2007-01-14,900,0
2007-01-14,1000,0
2007-01-14,1100,0
2007-01-14,1200,0
2007-01-14,1300,0
2007-01-14,1400,0
2007-01-14,1500,0
2007-01-14,1600,0
2007-01-14,1700,0
2007-01-14,1800,0
2007-01-14,1900,0
2007-01-14,2000,0
2007-01-14,2100,0
2007-01-14,2200,0
2007-01-14,2300,0
2007-01-15,0,0
2007-01-15,100,0
2007-01-15,200,0
2007-01-15,300,0
2007-01-15,400,0
2007-01-15,500,0
2007-01-15,600,0
2007-01-15,700,0
2007-01-15,800,0
2007-01-15,900,0
2007-01-15,1000,0
2007-01-15,1100,0
2007-01-15,1200,0
2007-01-15,1300,0
2007-01-15,1400,0
2007-01-15,1500,0
2007-01-15,1600,0
2007-01-15,1700,0
2007-01-15,1800,0
2007-01-15,1900,0
2007-01-15,2000,0
2007-01-15,2100,0
2007-01-15,2200,0
2007-01-15,2300,0
2007-01-16,0,0
2007-01-16,100,0
2007-01-16,200,0
2007-01-16,300,0
2007-01-16,400,0
2007-01-16,500,0
2007-01-16,600,0
2007-01-16,700,0
2007-01-16,800,0
2007-01-16,900,0
2007-01-16,1000,0
2007-01-16,1100,0
2007-01-16,1200,0
2007-01-16,1300,0
2007-01-16,1400,0
2007-01-16,1500,0
2007-01-16,1600,0
2007-01-16,1700,0
2007-01-16,1800,0
2007-01-16,1900,0
2007-01-16,2000,0
2007-01-16,2100,0
2007-01-16,2200,0
2007-01-16,2300,0
2007-01-17,0,0
2007-01-17,100,0
2007-01-17,200,0
2007-01-17,300,0
2007-01-17,400,0
2007-01-17,500,0
2007-01-17,600,0
2007-01-17,700,0
2007-01-17,800,0
2007-01-17,900,0
2007-01-17,1000,0
2007-01-17,1100,0
2007-01-17,1200,0
2007-01-17,1300,0
2007-01-17,1400,0
2007-01-17,1500,0
2007-01-17,1600,0
2007-01-17,1700,0
2007-01-17,1800,0
2007-01-17,1900,0
2007-01-17,2000,0
2007-01-17,2100,0
2007-01-17,2200,0
2007-01-17,2300,0
2007-01-18,0,"0,4"
2007-01-18,100,"0,2"
2007-01-18,200,0
2007-01-18,300,0
2007-01-18,400,0
2007-01-18,500,0
2007-01-18,600,0
2007-01-18,700,"0,2"
2007-01-18,800,"1,6"
2007-01-18,900,0
2007-01-18,1000,"2,2"
2007-01-18,1100,"2,4"
2007-01-18,1200,0
2007-01-18,1300,0
2007-01-18,1400,0
2007-01-18,1500,0
2007-01-18,1600,0
2007-01-18,1700,0
2007-01-18,1800,0
2007-01-18,1900,0
2007-01-18,2000,0
2007-01-18,2100,0
2007-01-18,2200,0
2007-01-18,2300,0
2007-01-19,0,0
2007-01-19,100,0
2007-01-19,200,0
2007-01-19,300,0
2007-01-19,400,0
2007-01-19,500,0
2007-01-19,600,0
2007-01-19,700,0
2007-01-19,800,0
2007-01-19,900,0
2007-01-19,1000,0
2007-01-19,1100,0
2007-01-19,1200,0
2007-01-19,1300,0
2007-01-19,1400,0
2007-01-19,1500,0
2007-01-19,1600,0
2007-01-19,1700,0
2007-01-19,1800,0
2007-01-19,1900,0
2007-01-19,2000,0
2007-01-19,2100,0
2007-01-19,2200,0
2007-01-19,2300,0
2007-01-20,0,"0,4"
2007-01-20,100,0
2007-01-20,200,"8,4"
2007-01-20,300,0
2007-01-20,400,0
2007-01-20,500,0
2007-01-20,600,"0,2"
2007-01-20,700,"3,2"
2007-01-20,800,2
2007-01-20,900,3
2007-01-20,1000,"2,4"
2007-01-20,1100,"0,6"
2007-01-20,1200,0
2007-01-20,1300,0
2007-01-20,1400,0
2007-01-20,1500,0
2007-01-20,1600,0
2007-01-20,1700,0
2007-01-20,1800,"0,4"
2007-01-20,1900,0
2007-01-20,2000,0
2007-01-20,2100,0
2007-01-20,2200,0
2007-01-20,2300,0
2007-01-21,0,0
2007-01-21,100,0
2007-01-21,200,0
2007-01-21,300,0
2007-01-21,400,0
2007-01-21,500,0
2007-01-21,600,0
2007-01-21,700,0
2007-01-21,800,0
2007-01-21,900,0
2007-01-21,1000,0
2007-01-21,1100,0
2007-01-21,1200,"0,2"
2007-01-21,1300,0
2007-01-21,1400,0
2007-01-21,1500,0
2007-01-21,1600,0
2007-01-21,1700,0
2007-01-21,1800,0
2007-01-21,1900,0
2007-01-21,2000,0
2007-01-21,2100,0
2007-01-21,2200,0
2007-01-21,2300,0
2007-01-22,0,0
2007-01-22,100,0
2007-01-22,200,0
2007-01-22,300,0
2007-01-22,400,0
2007-01-22,500,0
2007-01-22,600,0
2007-01-22,700,0
2007-01-22,800,0
2007-01-22,900,0
2007-01-22,1000,0
2007-01-22,1100,0
2007-01-22,1200,0
2007-01-22,1300,0
2007-01-22,1400,0
2007-01-22,1500,0
2007-01-22,1600,0
2007-01-22,1700,0
2007-01-22,1800,0
2007-01-22,1900,0
2007-01-22,2000,0
2007-01-22,2100,0
2007-01-22,2200,0
2007-01-22,2300,0
2007-01-23,0,0
2007-01-23,100,0
2007-01-23,200,0
2007-01-23,300,0
2007-01-23,400,0
2007-01-23,500,0
2007-01-23,600,0
2007-01-23,700,0
2007-01-23,800,0
2007-01-23,900,0
2007-01-23,1000,0
2007-01-23,1100,0
2007-01-23,1200,0
2007-01-23,1300,0
2007-01-23,1400,0
2007-01-23,1500,0
2007-01-23,1600,0
2007-01-23,1700,0
2007-01-23,1800,0
2007-01-23,1900,0
2007-01-23,2000,0
2007-01-23,2100,0
2007-01-23,2200,0
2007-01-23,2300,0
2007-01-24,0,0
2007-01-24,100,0
2007-01-24,200,0
2007-01-24,300,0
2007-01-24,400,0
2007-01-24,500,0
2007-01-24,600,0
2007-01-24,700,0
2007-01-24,800,0
2007-01-24,900,0
2007-01-24,1000,0
2007-01-24,1100,0
2007-01-24,1200,0
2007-01-24,1300,0
2007-01-24,1400,0
2007-01-24,1500,0
2007-01-24,1600,0
2007-01-24,1700,0
2007-01-24,1800,0
2007-01-24,1900,0
2007-01-24,2000,0
2007-01-24,2100,0
2007-01-24,2200,0
2007-01-24,2300,0
2007-01-25,0,0
2007-01-25,100,0
2007-01-25,200,0
2007-01-25,300,0
2007-01-25,400,0
2007-01-25,500,0
2007-01-25,600,0
2007-01-25,700,0
2007-01-25,800,0
2007-01-25,900,0
2007-01-25,1000,0
2007-01-25,1100,0
2007-01-25,1200,0
2007-01-25,1300,0
2007-01-25,1400,0
2007-01-25,1500,0
2007-01-25,1600,0
2007-01-25,1700,0
2007-01-25,1800,0
2007-01-25,1900,0
2007-01-25,2000,"0,6"
2007-01-25,2100,"0,8"
2007-01-25,2200,"5,2"
2007-01-25,2300,"1,2"
2007-01-26,0,0
2007-01-26,100,0
2007-01-26,200,"0,2"
2007-01-26,300,0
2007-01-26,400,0
2007-01-26,500,0
2007-01-26,600,0
2007-01-26,700,0
2007-01-26,800,0
2007-01-26,900,0
2007-01-26,1000,0
2007-01-26,1100,0
2007-01-26,1200,0
2007-01-26,1300,0
2007-01-26,1400,0
2007-01-26,1500,0
2007-01-26,1600,0
2007-01-26,1700,0
2007-01-26,1800,0
2007-01-26,1900,0
2007-01-26,2000,0
2007-01-26,2100,0
2007-01-26,2200,0
2007-01-26,2300,0
2007-01-27,0,0
2007-01-27,100,0
2007-01-27,200,0
2007-01-27,300,0
2007-01-27,400,0
2007-01-27,500,0
2007-01-27,600,0
2007-01-27,700,0
2007-01-27,800,0
2007-01-27,900,0
2007-01-27,1000,0
2007-01-27,1100,0
2007-01-27,1200,0
2007-01-27,1300,0
2007-01-27,1400,0
2007-01-27,1500,0
2007-01-27,1600,0
2007-01-27,1700,0
2007-01-27,1800,0
2007-01-27,1900,0
2007-01-27,2000,0
2007-01-27,2100,0
2007-01-27,2200,0
2007-01-27,2300,0
2007-01-28,0,0
2007-01-28,100,0
2007-01-28,200,0
2007-01-28,300,0
2007-01-28,400,0
2007-01-28,500,0
2007-01-28,600,0
2007-01-28,700,0
2007-01-28,800,0
2007-01-28,900,0
2007-01-28,1000,0
2007-01-28,1100,0
2007-01-28,1200,0
2007-01-28,1300,0
2007-01-28,1400,0
2007-01-28,1500,0
2007-01-28,1600,0
2007-01-28,1700,0
2007-01-28,1800,0
2007-01-28,1900,0
2007-01-28,2000,0
2007-01-28,2100,0
2007-01-28,2200,0
2007-01-28,2300,0
2007-01-29,0,0
2007-01-29,100,0
2007-01-29,200,0
2007-01-29,300,0
2007-01-29,400,0
2007-01-29,500,0
2007-01-29,600,0
2007-01-29,700,0
2007-01-29,800,0
2007-01-29,900,0
2007-01-29,1000,0
2007-01-29,1100,0
2007-01-29,1200,0
2007-01-29,1300,"0,2"
2007-01-29,1400,"1,6"
2007-01-29,1500,0
2007-01-29,1600,0
2007-01-29,1700,0
2007-01-29,1800,0
2007-01-29,1900,"3,2"
2007-01-29,2000,"0,2"
2007-01-29,2100,0
2007-01-29,2200,0
2007-01-29,2300,0
2007-01-30,0,0
2007-01-30,100,0
2007-01-30,200,0
2007-01-30,300,0
2007-01-30,400,0
2007-01-30,500,0
2007-01-30,600,0
2007-01-30,700,0
2007-01-30,800,0
2007-01-30,900,0
2007-01-30,1000,0
2007-01-30,1100,0
2007-01-30,1200,0
2007-01-30,1300,0
2007-01-30,1400,0
2007-01-30,1500,0
2007-01-30,1600,0
2007-01-30,1700,0
2007-01-30,1800,0
2007-01-30,1900,0
2007-01-30,2000,0
2007-01-30,2100,0
2007-01-30,2200,0
2007-01-30,2300,0
2007-01-31,0,0
2007-01-31,100,0
2007-01-31,200,0
2007-01-31,300,0
2007-01-31,400,0
2007-01-31,500,0
2007-01-31,600,0
2007-01-31,700,0
2007-01-31,800,0
2007-01-31,900,0
2007-01-31,1000,0
2007-01-31,1100,0
2007-01-31,1200,0
2007-01-31,1300,0
2007-01-31,1400,0
2007-01-31,1500,0
2007-01-31,1600,0
2007-01-31,1700,0
2007-01-31,1800,0
2007-01-31,1900,0
2007-01-31,2000,0
2007-01-31,2100,0
2007-01-31,2200,0
2007-01-31,2300,0
2007-02-01,0,0
2007-02-01,100,0
2007-02-01,200,0
2007-02-01,300,0
2007-02-01,400,0
2007-02-01,500,0
2007-02-01,600,0
2007-02-01,700,0
2007-02-01,800,0
2007-02-01,900,0
2007-02-01,1000,0
2007-02-01,1100,0
2007-02-01,1200,0
2007-02-01,1300,0
2007-02-01,1400,0
2007-02-01,1500,0
2007-02-01,1600,0
2007-02-01,1700,0
2007-02-01,1800,0
2007-02-01,1900,0
2007-02-01,2000,0
2007-02-01,2100,0
2007-02-01,2200,0
2007-02-01,2300,0
2007-02-02,0,0
2007-02-02,100,0
2007-02-02,200,0
2007-02-02,300,0
2007-02-02,400,0
2007-02-02,500,0
2007-02-02,600,0
2007-02-02,700,0
2007-02-02,800,0
2007-02-02,900,0
2007-02-02,1000,0
2007-02-02,1100,0
2007-02-02,1200,0
2007-02-02,1300,0
2007-02-02,1400,0
2007-02-02,1500,0
2007-02-02,1600,0
2007-02-02,1700,0
2007-02-02,1800,0
2007-02-02,1900,0
2007-02-02,2000,0
